State,CITY,OBJECTID
California,Adelanto,1
California,Agoura Hills,2
California,Alameda,3
California,Albany,4
California,Alhambra,5
California,Aliso Viejo,6
California,Alturas,7
California,Amador City,8
California,American Canyon,9
California,Anaheim,10
California,Anderson,11
California,Angels,12
California,Antioch,13
California,Apple Valley,14
California,Arcadia,15
California,Arcata,16
California,Arroyo Grande,17
California,Artesia,18
California,Arvin,19
California,Atascadero,20
California,Atherton,21
California,Atwater,22
California,Auburn,23
California,Avalon,24
California,Avenal,25
California,Azusa,26
California,Bakersfield,27
California,Baldwin Park,28
California,Banning,29
California,Barstow,30
California,Beaumont,31
California,Bell,32
California,Bell Gardens,33
California,Bellflower,34
California,Belmont,35
California,Belvedere,36
California,Benicia,37
California,Berkeley,38
California,Beverly Hills,39
California,Big Bear Lake,40
California,Biggs,41
California,Bishop,42
California,Blue Lake,43
California,Blythe,44
California,Bradbury,45
California,Brawley,46
California,Brea,47
California,Brentwood,48
California,Brisbane,49
California,Buellton,50
California,Buena Park,51
California,Burbank,52
California,Burlingame,53
California,Calabasas,54
California,Calexico,55
California,California,56
California,Calimesa,57
California,Calipatria,58
California,Calistoga,59
California,Camarillo,60
California,Campbell,61
California,Canyon Lake,62
California,Capitola,63
California,Carlsbad,64
California,Carmel-by-the-Sea,65
California,Carpinteria,66
California,Carson,67
California,Cathedral City,68
California,Ceres,69
California,Cerritos,70
California,Chico,71
California,Chino,72
California,Chino Hills,73
California,Chowchilla,74
California,Chula Vista,75
California,Citrus Heights,76
California,Claremont,77
California,Clayton,78
California,Clearlake,79
California,Cloverdale,80
California,Clovis,81
California,Coachella,82
California,Coalinga,83
California,Colfax,84
California,Colma,85
California,Colton,86
California,Colusa,87
California,Commerce,88
California,Compton,89
California,Concord,90
California,Corcoran,91
California,Corning,92
California,Corona,93
California,Coronado,94
California,Corte Madera,95
California,Costa Mesa,96
California,Cotati,97
California,Covina,98
California,Crescent City,99
California,Cudahy,100
California,Culver City,101
California,Cupertino,102
California,Cypress,103
California,Daly City,104
California,Dana Point,105
California,Danville,106
California,Davis,107
California,Del Mar,108
California,Del Rey Oaks,109
California,Delano,110
California,Desert Hot Springs,111
California,Diamond Bar,112
California,Dinuba,113
California,Dixon,114
California,Dorris,115
California,Dos Palos,116
California,Downey,117
California,Duarte,118
California,Dublin,119
California,Dunsmuir,120
California,East Palo Alto,121
California,Eastvale,122
California,El Cajon,123
California,El Centro,124
California,El Cerrito,125
California,El Monte,126
California,El Segundo,127
California,Elk Grove,128
California,Emeryville,129
California,Encinitas,130
California,Escalon,131
California,Escondido,132
California,Etna,133
California,Eureka,134
California,Exeter,135
California,Fairfax,136
California,Fairfield,137
California,Farmersville,138
California,Ferndale,139
California,Fillmore,140
California,Firebaugh,141
California,Folsom,142
California,Fontana,143
California,Fort Bragg,144
California,Fort Jones,145
California,Fortuna,146
California,Foster City,147
California,Fountain Valley,148
California,Fowler,149
California,Fremont,150
California,Fresno,151
California,Fullerton,152
California,Galt,153
California,Garden Grove,154
California,Gardena,155
California,Gilroy,156
California,Glendale,157
California,Glendora,158
California,Goleta,159
California,Gonzales,160
California,Grand Terrace,161
California,Grass Valley,162
California,Greenfield,163
California,Gridley,164
California,Grover Beach,165
California,Guadalupe,166
California,Gustine,167
California,Half Moon Bay,168
California,Hanford,169
California,Hawaiian Gardens,170
California,Hawthorne,171
California,Hayward,172
California,Healdsburg,173
California,Hemet,174
California,Hercules,175
California,Hermosa Beach,176
California,Hesperia,177
California,Hidden Hills,178
California,Highland,179
California,Hillsborough,180
California,Hollister,181
California,Holtville,182
California,Hughson,183
California,Huntington Beach,184
California,Huntington Park,185
California,Huron,186
California,Imperial,187
California,Imperial Beach,188
California,Indian Wells,189
California,Indio,190
California,Industry,191
California,Inglewood,192
California,Ione,193
California,Irvine,194
California,Irwindale,195
California,Isleton,196
California,Jackson,197
California,Jurupa Valley,198
California,Kerman,199
California,King City,200
California,Kingsburg,201
California,La Cañada Flintridge,202
California,La Habra,203
California,La Habra Heights,204
California,La Mesa,205
California,La Mirada,206
California,La Palma,207
California,La Puente,208
California,La Quinta,209
California,La Verne,210
California,Lafayette,211
California,Laguna Beach,212
California,Laguna Hills,213
California,Laguna Niguel,214
California,Laguna Woods,215
California,Lake Elsinore,216
California,Lake Forest,217
California,Lakeport,218
California,Lakewood,219
California,Lancaster,220
California,Larkspur,221
California,Lathrop,222
California,Lawndale,223
