State,CITY,OBJECTID,LATITUDE,LONGITUDE,POPULATION
Florida,Miami,1,25.7617,-80.1918,442241
Florida,Tampa,2,27.9506,-82.4572,384959
Florida,Orlando,3,28.5383,-81.3792,307573
Florida,Jacksonville,4,30.3322,-81.6557,949611
Florida,St. Petersburg,5,27.7676,-82.6403,258308
Florida,Hialeah,6,25.8576,-80.2781,223109
Florida,Tallahassee,7,30.4518,-84.27277,194500
Florida,Fort Lauderdale,8,26.1224,-80.1373,182760
Florida,Port St. Lucie,9,27.2730,-80.3582,204851
Florida,Cape Coral,10,26.5629,-81.9495,194016
Florida,Pembroke Pines,11,26.0020,-80.2962,171178
Florida,Hollywood,12,26.0112,-80.1495,153067
Florida,Miramar,13,25.9873,-80.3032,140823
Florida,Gainesville,14,29.6516,-82.3248,141085
Florida,Coral Springs,15,26.2710,-80.2706,133759
Florida,Miami Gardens,16,25.9420,-80.2456,113750
Florida,Clearwater,17,27.9659,-82.8001,117292
Florida,Palm Bay,18,28.0345,-80.5887,119760
Florida,West Palm Beach,19,26.7153,-80.0534,117415
Florida,Pompano Beach,20,26.2379,-80.1248,112046
Florida,Lakeland,21,28.0395,-81.9498,112641
Florida,Davie,22,26.0765,-80.2523,105691
Florida,Miami Beach,23,25.7907,-80.1300,92307
Florida,Sunrise,24,26.1669,-80.2567,97335
Florida,Boca Raton,25,26.3683,-80.1289,97422
Florida,Deltona,26,28.9005,-81.2637,91847
Florida,Plantation,27,26.1267,-80.2331,94366
Florida,Palm Coast,28,29.5844,-81.2078,89800
Florida,Largo,29,27.9095,-82.7873,84666
Florida,Melbourne,30,28.0836,-80.6081,84678
Florida,Boynton Beach,31,26.5318,-80.0906,78060
Florida,Fort Myers,32,26.6406,-81.8723,86395
Florida,Kissimmee,33,28.2920,-81.4076,79226
Florida,Homestead,34,25.4687,-80.4776,80737
Florida,Delray Beach,35,26.4615,-80.0728,69451
Florida,Ocala,36,29.1872,-82.1401,63591
Florida,Sarasota,37,27.3364,-82.5307,57738
Florida,Bradenton,38,27.4989,-82.5748,59439
Florida,Pensacola,39,30.4213,-87.2169,54312
Florida,Deerfield Beach,40,26.3184,-80.0997,81972
Florida,Alafaya,41,28.5581,-81.2081,88231
Florida,Wellington,42,26.6584,-80.2417,65398
Florida,North Miami,43,25.8901,-80.1870,62468
Florida,Jupiter,44,26.9342,-80.0942,65524
Florida,Coconut Creek,45,26.2517,-80.1790,63072
Florida,Margate,46,26.2445,-80.2064,58771
Florida,Sanford,47,28.8028,-81.2690,61051
Florida,Titusville,48,28.6122,-80.8075,48789
Florida,Apopka,49,28.6934,-81.5322,54873
Florida,Aventura,50,25.9565,-80.1390,40242
