State,CITY,OBJECTID
Texas,Houston,1
Texas,Dallas,2
Texas,Austin,3
Texas,San Antonio,4
Texas,Fort Worth,5
Texas,El Paso,6
Texas,Arlington,7
Texas,Corpus Christi,8
Texas,Plano,9
Texas,Lubbock,10
Texas,Irving,11
Texas,Laredo,12
Texas,Garland,13
Texas,Frisco,14
Texas,McKinney,15
Texas,Amarillo,16
Texas,Grand Prairie,17
Texas,Brownsville,18
Texas,Pasadena,19
Texas,Mesquite,20
Texas,Killeen,21
Texas,McAllen,22
Texas,Carrollton,23
Texas,Midland,24
Texas,Denton,25
Texas,Abilene,26
Texas,Beaumont,27
Texas,Round Rock,28
Texas,Odessa,29
Texas,Waco,30
Texas,Richardson,31
Texas,Lewisville,32
Texas,Sugar Land,33
Texas,College Station,34
Texas,Pearland,35
Texas,Tyler,36
Texas,Allen,37
Texas,League City,38
Texas,Longview,39
Texas,Baytown,40
Texas,Missouri City,41
Texas,Edinburg,42
Texas,Conroe,43
Texas,Flower Mound,44
Texas,Bryan,45
Texas,Cedar Park,46
Texas,Pharr,47
Texas,New Braunfels,48
Texas,Georgetown,49
Texas,Temple,50
